COMMUNITY,COMMUNITY_INDEX,MERCHANT,MERCHANT_INDEX,PERC_AUDIENCE
Food Delivery,236.81,LEMONADE LA,981.37,0.558982
Home Decor,214.47,EARTHHERO,,0.523144
Beauty - cosmetics & skincare,212.04,SUPERGOOP,,0.615264
Streaming OTT,188.21,CRACKLE,1290.91,0.572095
QSR,128.49,DAVE'S HOT CHICKEN,,0.988093
E-tailers,125.33,BAYRU,700.0,0.539325
