COMMUNITY,COMMUNITY_INDEX,MERCHANT,MERCHANT_INDEX,PERC_AUDIENCE
Sports Betting,104.53,PRIZEPICKS,,0.047181
Travel - airlines,101.7,SUN COUNTRY AIRLINES,,0.170264
Streaming OTT,101.32,HBO GO,300.0,0.307996
QSR,94.66,DAVE'S HOT CHICKEN,,0.727969
Food Delivery,93.6,EZCATER,116.02,0.22094
