AUDIENCE,COMPARISON_POPULATION,COMMUNITY,PERC_AUDIENCE,MEDIAN_SPEND_PER_CUSTOMER,SPC,SPP,PPC,PERC_COMPARISON,COMPARISON_MEDIAN_SPEND_PER_CUSTOMER,COMPARISON_SPC,COMPARISON_SPP,COMPARISON_PPC,PERC_INDEX,SPC_INDEX,SPP_INDEX,PPC_INDEX,COMPOSITE_INDEX
Past Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Disney Diehards,0.105263,11.22,230.53,18.78,12.272727,0.141980,14.28,482.31,46.24,10.431409,74.14,47.8,40.62,117.65,70.0525
Past Season Ticket Member,Other Seattle/Washington Sports Fans,Disney Diehards,0.105263,11.22,230.53,18.78,12.272727,0.265836,15.23,586,53.14,11.027883,39.60,39.34,35.34,111.29,56.3925
Past Season Ticket Member,General Population,Disney Diehards,0.105263,11.22,230.53,18.78,12.272727,0.109018,108.74,479.61,46.29,10.360203,96.56,48.07,40.57,118.46,75.915
Past Season Ticket Member,NWSL Fans,Disney Diehards,0.105263,11.22,230.53,18.78,12.272727,0.408364,16.62,684.3,51.88,13.190323,25.78,33.69,36.2,93.04,47.1775
Past Season Ticket Member,General Population,Gambler,0.105263,49.07,1394.77,295.05,4.727273,0.115165,139.56,2634.3,80.07,32.901739,91.40,52.95,368.51,14.37,131.8075
Past Season Ticket Member,NWSL Fans,Gambler,0.105263,49.07,1394.77,295.05,4.727273,0.350926,21.29,1805.72,70.22,25.716382,30.00,77.24,420.2,18.38,136.455
Past Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Gambler,0.105263,49.07,1394.77,295.05,4.727273,0.172949,23.96,2233.34,149.48,14.940915,60.86,62.45,197.39,31.64,88.085
Past Season Ticket Member,Other Seattle/Washington Sports Fans,Gambler,0.105263,49.07,1394.77,295.05,4.727273,0.328218,25.03,1598.67,163.28,9.791152,32.07,87.25,180.71,48.28,87.0775
Email/Marketing Lead Only,General Population,NWSL,0.105214,24.65,185.15,42.01,4.407080,0.001296,50.7,165.34,62.14,2.660845,8118.36,111.98,67.61,165.63,2115.895
Email/Marketing Lead Only,NWSL Fans,NWSL,0.105214,24.65,185.15,42.01,4.407080,1.000000,22.8,102.12,35.45,2.88095,10.52,181.31,118.52,152.97,115.83
Email/Marketing Lead Only,Other Seattle/Washington Sports Fans,NWSL,0.105214,24.65,185.15,42.01,4.407080,0.263607,21.43,79.07,27.08,2.920149,39.91,234.16,155.15,150.92,145.035
Email/Marketing Lead Only,Local Gen Pop (Excl. Seattle Reign Fans),NWSL,0.105214,24.65,185.15,42.01,4.407080,0.040258,21.7,84.6,29.13,2.90483,261.35,218.84,144.24,151.72,194.0375
2025 Single Match Attendee,NWSL Fans,Basketball,0.104723,25.52,338.94,87.97,3.852941,0.329373,25.01,186.58,44.47,4.195185,31.79,181.66,197.8,91.84,125.7725
2025 Single Match Attendee,Local Gen Pop (Excl. Seattle Reign Fans),Basketball,0.104723,25.52,338.94,87.97,3.852941,0.070134,24.19,130.63,44.94,2.906812,149.32,259.46,195.75,132.55,184.27
2025 Single Match Attendee,Other Seattle/Washington Sports Fans,Basketball,0.104723,25.52,338.94,87.97,3.852941,0.260230,25.13,138.7,47.86,2.898136,40.24,244.37,183.82,132.95,150.345
2025 Single Match Attendee,General Population,Basketball,0.104723,25.52,338.94,87.97,3.852941,0.024956,58.36,184.26,67.03,2.749041,419.63,183.95,131.25,140.16,218.7475
2025 Single Match Attendee,General Population,Parents of Young Children,0.104723,35.94,493.76,119.06,4.147059,0.116935,82.21,232.15,50.99,4.552447,89.56,212.69,233.48,91.1,156.7075
2025 Single Match Attendee,Local Gen Pop (Excl. Seattle Reign Fans),Parents of Young Children,0.104723,35.94,493.76,119.06,4.147059,0.131308,25.8,290.52,60.84,4.775029,79.75,169.96,195.69,86.85,133.0625
2025 Single Match Attendee,Other Seattle/Washington Sports Fans,Parents of Young Children,0.104723,35.94,493.76,119.06,4.147059,0.203758,28.24,382.75,68.77,5.565722,51.40,129,173.13,74.51,107.01
2025 Single Match Attendee,NWSL Fans,Parents of Young Children,0.104723,35.94,493.76,119.06,4.147059,0.274692,29.58,314.54,59.29,5.305254,38.12,156.98,200.82,78.17,118.5225
Season Ticket Members,General Population,Home Workout Enthusiasts,0.033755,53.14,1359.76,100.72,13.500000,0.010452,303.46,797.16,73.11,10.904071,322.95,170.58,137.77,123.81,188.7775
Season Ticket Members,General Population,Youth Sports - Soccer,0.033755,96.44,1230.22,133.90,9.187500,0.004302,167.73,341.04,129.39,2.635749,784.64,360.72,103.48,348.57,399.3525
Season Ticket Members,Other Seattle/Washington Sports Fans,Youth Sports - Soccer,0.033755,96.44,1230.22,133.90,9.187500,0.018467,86.71,505.48,141.32,3.576821,182.79,243.38,94.75,256.86,194.445
Season Ticket Members,Local Gen Pop (Excl. Seattle Reign Fans),Youth Sports - Soccer,0.033755,96.44,1230.22,133.90,9.187500,0.006318,89.18,450.16,147.77,3.046267,534.27,273.29,90.61,301.6,299.9425
Season Ticket Members,NWSL Fans,Youth Sports - Soccer,0.033755,96.44,1230.22,133.90,9.187500,0.091495,82.8,501.38,125.22,4.004034,36.89,245.37,106.93,229.46,154.6625
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),Youth Sports - Soccer,0.033257,83.51,606.73,136.80,4.435159,0.006318,89.18,450.16,147.77,3.046267,526.38,134.78,92.57,145.59,224.83
Single Match Buyers and Attendees,General Population,Youth Sports - Soccer,0.033257,83.51,606.73,136.80,4.435159,0.004302,167.73,341.04,129.39,2.635749,773.06,177.9,105.73,168.27,306.24
Season Ticket Members,Local Gen Pop (Excl. Seattle Reign Fans),Hyper Hydration,0.035865,46.14,229.28,56.49,4.058824,0.025681,51.89,183.18,82.42,2.222436,139.66,125.17,68.54,182.63,129
Season Ticket Members,Local Gen Pop (Excl. Seattle Reign Fans),Skiers,0.035865,85.55,342.35,145.50,2.352941,0.027833,89.54,659.59,216.76,3.042925,128.86,51.9,67.12,77.32,81.3
Season Ticket Members,Other Seattle/Washington Sports Fans,Skiers,0.035865,85.55,342.35,145.50,2.352941,0.083471,92.75,731.37,219.26,3.335568,42.97,46.81,66.36,70.54,56.67
Season Ticket Members,General Population,Skiers,0.035865,85.55,342.35,145.50,2.352941,0.010238,231.03,614.76,244.96,2.509598,350.31,55.69,59.4,93.76,139.79
Season Ticket Members,NWSL Fans,Skiers,0.035865,85.55,342.35,145.50,2.352941,0.084703,67.85,790.33,205.77,3.840847,42.34,43.32,70.71,61.26,54.4075
Season Ticket Members,Other Seattle/Washington Sports Fans,Home Workout Enthusiasts,0.033755,53.14,1359.76,100.72,13.500000,0.041421,45.76,1034.34,75.9,13.627874,81.49,131.46,132.7,99.06,111.1775
Season Ticket Members,Local Gen Pop (Excl. Seattle Reign Fans),Home Workout Enthusiasts,0.033755,53.14,1359.76,100.72,13.500000,0.018090,44.59,909.28,78.45,11.590945,186.59,149.54,128.39,116.47,145.2475
Season Ticket Members,NWSL Fans,Home Workout Enthusiasts,0.033755,53.14,1359.76,100.72,13.500000,0.036813,43.09,955.44,68.16,14.017335,91.69,142.32,147.77,96.31,119.5225
Seattle Reign FC,Local Gen Pop (Excl. Seattle Reign Fans),Women's College Basketball,0.000155,414.94,427.36,427.36,1.000000,0.000023,173.57,470.56,342.22,1.375,673.91,90.82,124.88,72.73,240.585
Seattle Reign FC,General Population,Women's College Basketball,0.000155,414.94,427.36,427.36,1.000000,0.000008,138.81,245.11,171.6,1.428333,1937.50,174.36,249.04,70.01,607.7275
Seattle Reign FC,NWSL Fans,Women's College Basketball,0.000155,414.94,427.36,427.36,1.000000,0.000079,126.4,378.19,177.52,2.130435,196.20,113,240.74,46.94,149.22
Seattle Reign FC,Other Seattle/Washington Sports Fans,Women's College Basketball,0.000155,414.94,427.36,427.36,1.000000,0.000118,187.57,574.08,405.23,1.416667,131.36,74.44,105.46,70.59,95.4625
Seattle Reign FC,NWSL Fans,Youth Sports - Basketball,0.000155,56.00,90.16,63.12,1.428571,0.000417,54.29,117.08,73.79,1.586777,37.17,77,85.54,90.03,72.435
Seattle Reign FC,General Population,Youth Sports - Basketball,0.000155,56.00,90.16,63.12,1.428571,0.000098,74.08,182.33,106.65,1.70972,158.16,49.45,59.19,83.56,87.59
Seattle Reign FC,Other Seattle/Washington Sports Fans,Youth Sports - Basketball,0.000155,56.00,90.16,63.12,1.428571,0.000147,63.5,101.63,56.46,1.8,105.44,88.72,111.8,79.37,96.3325
Seattle Reign FC,Local Gen Pop (Excl. Seattle Reign Fans),Youth Sports - Basketball,0.000155,56.00,90.16,63.12,1.428571,0.000080,67.63,126.75,80.27,1.578947,193.75,71.13,78.63,90.48,108.4975
Combined Reign Fanbase,Other Seattle/Washington Sports Fans,Men's College Basketball,0.000143,223.18,758.08,242.59,3.125000,0.000147,216.94,535.77,236.37,2.266667,97.28,141.49,102.63,137.87,119.8175
Combined Reign Fanbase,General Population,Men's College Basketball,0.000143,223.18,758.08,242.59,3.125000,0.000016,198.16,355.04,267.26,1.328455,893.75,213.52,90.77,235.24,358.32
Combined Reign Fanbase,NWSL Fans,Men's College Basketball,0.000143,223.18,758.08,242.59,3.125000,0.000176,239.96,547.81,297.21,1.843137,81.25,138.38,81.62,169.55,117.7
Combined Reign Fanbase,Local Gen Pop (Excl. Seattle Reign Fans),Men's College Basketball,0.000143,223.18,758.08,242.59,3.125000,0.000034,209.13,433.42,236.41,1.833333,420.59,174.91,102.61,170.45,217.14
Combined Reign Fanbase,Other Seattle/Washington Sports Fans,Women's College Basketball,0.000143,354.64,392.03,392.03,1.000000,0.000118,187.57,574.08,405.23,1.416667,121.19,68.29,96.74,70.59,89.2025
Combined Reign Fanbase,General Population,Women's College Basketball,0.000143,354.64,392.03,392.03,1.000000,0.000008,138.81,245.11,171.6,1.428333,1787.50,159.94,228.45,70.01,561.475
Combined Reign Fanbase,NWSL Fans,Women's College Basketball,0.000143,354.64,392.03,392.03,1.000000,0.000079,126.4,378.19,177.52,2.130435,181.01,103.66,220.84,46.94,138.1125
Combined Reign Fanbase,Local Gen Pop (Excl. Seattle Reign Fans),Women's College Basketball,0.000143,354.64,392.03,392.03,1.000000,0.000023,173.57,470.56,342.22,1.375,621.74,83.31,114.55,72.73,223.0825
Full Matched Fanbase,Local Gen Pop (Excl. Seattle Reign Fans),College Football,0.000084,42.43,42.43,42.43,1.000000,0.000123,55.23,134.01,109.99,1.218391,68.29,31.66,38.58,82.08,55.1525
Full Matched Fanbase,General Population,College Football,0.000084,42.43,42.43,42.43,1.000000,0.000118,75.67,179.15,136.91,1.30857,71.19,23.68,30.99,76.42,50.57
Full Matched Fanbase,NWSL Fans,College Football,0.000084,42.43,42.43,42.43,1.000000,0.001883,54.81,235.94,178.92,1.318681,4.46,17.98,23.71,75.83,30.495
Full Matched Fanbase,Other Seattle/Washington Sports Fans,College Football,0.000084,42.43,42.43,42.43,1.000000,0.000344,56.92,109.98,87.49,1.257143,24.42,38.58,48.5,79.55,47.7625
Full Matched Fanbase,General Population,Men's College Basketball,0.000084,229.15,229.15,229.15,1.000000,0.000016,198.16,355.04,267.26,1.328455,525.00,64.54,85.74,75.28,187.64
Full Matched Fanbase,NWSL Fans,Men's College Basketball,0.000084,229.15,229.15,229.15,1.000000,0.000176,239.96,547.81,297.21,1.843137,47.73,41.83,77.1,54.26,55.23
Full Matched Fanbase,Other Seattle/Washington Sports Fans,Men's College Basketball,0.000084,229.15,229.15,229.15,1.000000,0.000147,216.94,535.77,236.37,2.266667,57.14,42.77,96.95,44.12,60.245
Full Matched Fanbase,Local Gen Pop (Excl. Seattle Reign Fans),Men's College Basketball,0.000084,229.15,229.15,229.15,1.000000,0.000034,209.13,433.42,236.41,1.833333,247.06,52.87,96.93,54.55,112.8525
Full Matched Fanbase,NWSL Fans,Women's College Basketball,0.000084,144.71,144.71,144.71,1.000000,0.000079,126.4,378.19,177.52,2.130435,106.33,38.26,81.52,46.94,68.2625
Full Matched Fanbase,General Population,Women's College Basketball,0.000084,144.71,144.71,144.71,1.000000,0.000008,138.81,245.11,171.6,1.428333,1050.00,59.04,84.33,70.01,315.845
Full Matched Fanbase,Other Seattle/Washington Sports Fans,Women's College Basketball,0.000084,144.71,144.71,144.71,1.000000,0.000118,187.57,574.08,405.23,1.416667,71.19,25.21,35.71,70.59,50.675
Full Matched Fanbase,Local Gen Pop (Excl. Seattle Reign Fans),Women's College Basketball,0.000084,144.71,144.71,144.71,1.000000,0.000023,173.57,470.56,342.22,1.375,365.22,30.75,42.29,72.73,127.7475
Seattle Reign FC,NWSL Fans,Car Enthusiasts,0.000044,2264.09,3281.67,2187.78,1.500000,0.000076,448.46,1364.5,1035.14,1.318182,57.89,240.5,211.35,113.79,155.8825
Seattle Reign FC,Other Seattle/Washington Sports Fans,Car Enthusiasts,0.000044,2264.09,3281.67,2187.78,1.500000,0.000079,704.7,1620.41,997.18,1.625,55.70,202.52,219.4,92.31,142.4825
Seattle Reign FC,Local Gen Pop (Excl. Seattle Reign Fans),Car Enthusiasts,0.000044,2264.09,3281.67,2187.78,1.500000,0.000027,548.71,1412.17,766.61,1.842105,162.96,232.38,285.38,81.43,190.5375
Seattle Reign FC,General Population,Car Enthusiasts,0.000044,2264.09,3281.67,2187.78,1.500000,0.000024,493.7,1382.2,726.39,1.90283,183.33,237.42,301.19,78.83,200.1925
Seattle Reign FC,NWSL Fans,Tailgaters,0.000044,2655.00,10322.11,2293.80,4.500000,0.000072,440.83,3196.02,1864.34,1.714286,61.11,322.97,123.04,262.5,192.405
Seattle Reign FC,General Population,Tailgaters,0.000044,2655.00,10322.11,2293.80,4.500000,0.000014,682.02,2643.47,1183.66,2.233302,314.29,390.48,193.79,201.5,275.015
Seattle Reign FC,Other Seattle/Washington Sports Fans,Tailgaters,0.000044,2655.00,10322.11,2293.80,4.500000,0.000020,468.54,468.54,468.54,1,220.00,2203.06,489.57,450,840.6575
Seattle Reign FC,Local Gen Pop (Excl. Seattle Reign Fans),Tailgaters,0.000044,2655.00,10322.11,2293.80,4.500000,0.000008,853.15,2043.51,1362.34,1.5,550.00,505.12,168.37,300,380.8725
Combined Reign Fanbase,Other Seattle/Washington Sports Fans,Car Enthusiasts,0.000036,2264.09,3281.67,2187.78,1.500000,0.000079,704.7,1620.41,997.18,1.625,45.57,202.52,219.4,92.31,139.95
Combined Reign Fanbase,General Population,Car Enthusiasts,0.000036,2264.09,3281.67,2187.78,1.500000,0.000024,493.7,1382.2,726.39,1.90283,150.00,237.42,301.19,78.83,191.86
Combined Reign Fanbase,Local Gen Pop (Excl. Seattle Reign Fans),Car Enthusiasts,0.000036,2264.09,3281.67,2187.78,1.500000,0.000027,548.71,1412.17,766.61,1.842105,133.33,232.38,285.38,81.43,183.13
Combined Reign Fanbase,NWSL Fans,Car Enthusiasts,0.000036,2264.09,3281.67,2187.78,1.500000,0.000076,448.46,1364.5,1035.14,1.318182,47.37,240.5,211.35,113.79,153.2525
Combined Reign Fanbase,NWSL Fans,Tailgaters,0.000036,2655.00,10322.11,2293.80,4.500000,0.000072,440.83,3196.02,1864.34,1.714286,50.00,322.97,123.04,262.5,189.6275
Combined Reign Fanbase,Other Seattle/Washington Sports Fans,Tailgaters,0.000036,2655.00,10322.11,2293.80,4.500000,0.000020,468.54,468.54,468.54,1,180.00,2203.06,489.57,450,830.6575
Combined Reign Fanbase,Local Gen Pop (Excl. Seattle Reign Fans),Tailgaters,0.000036,2655.00,10322.11,2293.80,4.500000,0.000008,853.15,2043.51,1362.34,1.5,450.00,505.12,168.37,300,355.8725
Combined Reign Fanbase,General Population,Tailgaters,0.000036,2655.00,10322.11,2293.80,4.500000,0.000014,682.02,2643.47,1183.66,2.233302,257.14,390.48,193.79,201.5,260.7275
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Youth Sports - Soccer,0.033257,83.51,606.73,136.80,4.435159,0.018467,86.71,505.48,141.32,3.576821,180.09,120.03,96.8,124,130.23
Single Match Buyers and Attendees,NWSL Fans,Youth Sports - Soccer,0.033257,83.51,606.73,136.80,4.435159,0.091495,82.8,501.38,125.22,4.004034,36.35,121.01,109.25,110.77,94.345
Season Ticket Members,Other Seattle/Washington Sports Fans,International Sports,0.031646,39.90,518.14,152.39,3.400000,0.006735,60.57,231.14,122.25,1.890671,469.87,224.17,124.65,179.83,249.63
Season Ticket Members,General Population,International Sports,0.031646,39.90,518.14,152.39,3.400000,0.001816,139.22,325.06,186.37,1.744177,1742.62,159.4,81.77,194.93,544.68
Season Ticket Members,NWSL Fans,International Sports,0.031646,39.90,518.14,152.39,3.400000,0.030276,89.56,378.77,193.5,1.957503,104.53,136.79,78.76,173.69,123.4425
Season Ticket Members,Local Gen Pop (Excl. Seattle Reign Fans),International Sports,0.031646,39.90,518.14,152.39,3.400000,0.002346,65.75,280.55,147.65,1.90006,1348.93,184.69,103.21,178.94,453.9425
Single Match Buyers and Attendees,NWSL Fans,Hyper Hydration,0.031627,44.51,177.62,70.11,2.533333,0.067159,49.51,152.13,71.2,2.136525,47.09,116.75,98.46,118.57,95.2175
Single Match Buyers and Attendees,General Population,Hyper Hydration,0.031627,44.51,177.62,70.11,2.533333,0.017467,64.13,167.46,80.96,2.06841,181.07,106.07,86.6,122.48,124.055
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Hyper Hydration,0.031627,44.51,177.62,70.11,2.533333,0.056874,52.03,208.56,90.52,2.303988,55.61,85.16,77.45,109.95,82.0425
Seattle Reign FC,General Population,Western Sports,0.010484,101.89,240.44,148.93,1.614407,0.001326,88.98,306.75,164.06,1.869769,790.65,78.38,90.78,86.34,261.5375
Seattle Reign FC,Local Gen Pop (Excl. Seattle Reign Fans),Western Sports,0.010484,101.89,240.44,148.93,1.614407,0.002543,105.19,295.43,190.09,1.554137,412.27,81.39,78.35,103.88,168.9725
Seattle Reign FC,Other Seattle/Washington Sports Fans,Western Sports,0.010484,101.89,240.44,148.93,1.614407,0.006460,119.53,230.85,166.38,1.387538,162.29,104.15,89.51,116.35,118.075
Seattle Reign FC,NWSL Fans,Western Sports,0.010484,101.89,240.44,148.93,1.614407,0.007558,49.25,170.84,102.07,1.673665,138.71,140.74,145.91,96.46,130.455
2025 Single Match Buyer,Local Gen Pop (Excl. Seattle Reign Fans),Olympics Fans,0.010442,37.30,187.95,61.08,3.076923,0.007574,34.95,155.66,65.28,2.384673,137.87,120.74,93.57,129.03,120.3025
2025 Single Match Buyer,Other Seattle/Washington Sports Fans,Olympics Fans,0.010442,37.30,187.95,61.08,3.076923,0.020254,35.41,174.53,67.54,2.584101,51.56,107.69,90.44,119.07,92.19
2025 Single Match Buyer,NWSL Fans,Olympics Fans,0.010442,37.30,187.95,61.08,3.076923,0.020356,40.86,182.69,74.5,2.452296,51.30,102.88,81.99,125.47,90.41
2025 Single Match Buyer,General Population,Olympics Fans,0.010442,37.30,187.95,61.08,3.076923,0.004234,66.14,158.11,68.11,2.321459,246.62,118.88,89.68,132.54,146.93
2025 Single Match Buyer,Other Seattle/Washington Sports Fans,Republican,0.010442,9.58,102.02,31.58,3.230769,0.021550,15.86,346,37.34,9.265148,48.45,29.49,84.56,34.87,49.3425
2025 Single Match Buyer,Local Gen Pop (Excl. Seattle Reign Fans),Republican,0.010442,9.58,102.02,31.58,3.230769,0.017873,15.72,440.59,31.19,14.126422,58.42,23.16,101.25,22.87,51.425
2025 Single Match Buyer,General Population,Republican,0.010442,9.58,102.02,31.58,3.230769,0.010280,98.23,367.52,31.31,11.739336,101.58,27.76,100.87,27.52,64.4325
2025 Single Match Buyer,NWSL Fans,Republican,0.010442,9.58,102.02,31.58,3.230769,0.014829,16.03,398.58,62.8,6.34729,70.42,25.6,50.29,50.9,49.3025
Full Matched Fanbase,Other Seattle/Washington Sports Fans,Crypto Investors,0.010383,12.21,1052.16,95.93,10.967480,0.021982,56.88,2025.42,192.22,10.536847,47.23,51.95,49.91,104.09,63.295
Full Matched Fanbase,Local Gen Pop (Excl. Seattle Reign Fans),Crypto Investors,0.010383,12.21,1052.16,95.93,10.967480,0.015877,55.87,2627.03,221.87,11.840256,65.40,40.05,43.24,92.63,60.33
Full Matched Fanbase,General Population,Crypto Investors,0.010383,12.21,1052.16,95.93,10.967480,0.013164,219.45,2189.12,193.61,11.306809,78.87,48.06,49.55,97,68.37
Full Matched Fanbase,NWSL Fans,Crypto Investors,0.010383,12.21,1052.16,95.93,10.967480,0.021280,54.08,1608.59,176.31,9.123521,48.79,65.41,54.41,120.21,72.205
Full Matched Fanbase,General Population,Gun owners,0.010299,92.20,1044.17,181.21,5.762295,0.012477,268.59,810.21,220.93,3.667218,82.54,128.88,82.02,157.13,112.6425
Full Matched Fanbase,Local Gen Pop (Excl. Seattle Reign Fans),Gun owners,0.010299,92.20,1044.17,181.21,5.762295,0.021881,139.73,989.98,250.17,3.957209,47.07,105.47,72.43,145.62,92.6475
Full Matched Fanbase,Other Seattle/Washington Sports Fans,Gun owners,0.010299,92.20,1044.17,181.21,5.762295,0.032320,150.92,923.49,261.56,3.53068,31.87,113.07,69.28,163.21,94.3575
Full Matched Fanbase,NWSL Fans,Gun owners,0.010299,92.20,1044.17,181.21,5.762295,0.016054,133.31,741.35,235.41,3.149119,64.15,140.85,76.98,182.98,116.24
Seattle Reign FC,Local Gen Pop (Excl. Seattle Reign Fans),Adult Recreational Sports,0.010151,80.23,341.58,99.81,3.422319,0.001542,76.89,272.06,96.24,2.826923,658.30,125.55,103.71,121.06,252.155
Seattle Reign FC,General Population,Adult Recreational Sports,0.010151,80.23,341.58,99.81,3.422319,0.001000,96.81,235.68,56.93,4.139677,1015.10,144.93,175.31,82.67,354.5025
Seattle Reign FC,Other Seattle/Washington Sports Fans,Adult Recreational Sports,0.010151,80.23,341.58,99.81,3.422319,0.005164,88.98,323.53,116.08,2.787072,196.57,105.58,85.98,122.79,127.73
Seattle Reign FC,NWSL Fans,Adult Recreational Sports,0.010151,80.23,341.58,99.81,3.422319,0.016806,53.88,345.04,70.88,4.868227,60.40,99,140.82,70.3,92.63
Seattle Reign FC,Other Seattle/Washington Sports Fans,Player Fan,0.010151,78.00,203.61,105.74,1.925602,0.004968,111.22,250.87,136.49,1.837945,204.33,81.16,77.47,104.77,116.9325
Seattle Reign FC,NWSL Fans,Player Fan,0.010151,78.00,203.61,105.74,1.925602,0.019466,65.49,180.08,93.48,1.926458,52.15,113.07,113.12,99.96,94.575
Seattle Reign FC,General Population,Player Fan,0.010151,78.00,203.61,105.74,1.925602,0.000959,106,191.09,121.91,1.567481,1058.50,106.55,86.74,122.85,343.66
Seattle Reign FC,Local Gen Pop (Excl. Seattle Reign Fans),Player Fan,0.010151,78.00,203.61,105.74,1.925602,0.001685,115.83,253.85,139.56,1.818944,602.43,80.21,75.77,105.86,216.0675
Seattle Reign FC,General Population,Wrestling,0.010062,50.85,186.88,66.71,2.801325,0.002054,70.45,221.29,56.05,3.94793,489.87,84.45,119.02,70.96,191.075
Seattle Reign FC,Other Seattle/Washington Sports Fans,Wrestling,0.010062,50.85,186.88,66.71,2.801325,0.008816,49.59,185.67,66.14,2.80735,114.13,100.65,100.86,99.79,103.8575
Seattle Reign FC,Local Gen Pop (Excl. Seattle Reign Fans),Wrestling,0.010062,50.85,186.88,66.71,2.801325,0.003189,34.44,214.62,51.05,4.204163,315.52,87.07,130.68,66.63,149.975
Seattle Reign FC,NWSL Fans,Wrestling,0.010062,50.85,186.88,66.71,2.801325,0.008896,49.68,187.3,71.79,2.608763,113.11,99.78,92.92,107.38,103.2975
Past Single Match Buyer,Other Seattle/Washington Sports Fans,Skate,0.010058,64.33,178.62,99.05,1.803279,0.020500,59.47,136.88,82.22,1.664751,49.06,130.49,120.47,108.32,102.085
Past Single Match Buyer,Local Gen Pop (Excl. Seattle Reign Fans),Skate,0.010058,64.33,178.62,99.05,1.803279,0.008083,57.69,129.98,79.8,1.628931,124.43,137.42,124.13,110.7,124.17
Past Single Match Buyer,NWSL Fans,Skate,0.010058,64.33,178.62,99.05,1.803279,0.041522,59.88,182.34,84.85,2.14904,24.22,97.96,116.74,83.91,80.7075
Past Single Match Buyer,General Population,Skate,0.010058,64.33,178.62,99.05,1.803279,0.002228,71.64,143.12,83.94,1.705058,451.44,124.81,118.01,105.76,200.005
Past Single Match Attendee,NWSL Fans,Emerging Sports Fan,0.010048,51.65,284.68,77.95,3.652174,0.021694,22.12,360.15,70.46,5.111782,46.32,79.04,110.64,71.45,76.8625
Past Single Match Attendee,Local Gen Pop (Excl. Seattle Reign Fans),Emerging Sports Fan,0.010048,51.65,284.68,77.95,3.652174,0.007610,18.33,211.63,47.92,4.415847,132.04,134.52,162.65,82.71,127.98
Past Single Match Attendee,Other Seattle/Washington Sports Fans,Emerging Sports Fan,0.010048,51.65,284.68,77.95,3.652174,0.013568,18.51,232.35,50.53,4.598408,74.06,122.52,154.27,79.42,107.5675
Past Single Match Attendee,General Population,Emerging Sports Fan,0.010048,51.65,284.68,77.95,3.652174,0.007042,42.63,183.72,46.34,3.964746,142.69,154.96,168.22,92.12,139.4975
2025 Single Match Buyer,Local Gen Pop (Excl. Seattle Reign Fans),Daters,0.009639,32.57,186.62,35.55,5.250000,0.014685,25.55,270.72,38.26,7.07645,65.64,68.93,92.92,74.19,75.42
2025 Single Match Buyer,NWSL Fans,Daters,0.009639,32.57,186.62,35.55,5.250000,0.015830,21.41,276.07,32.54,8.483112,60.89,67.6,109.24,61.89,74.905
2025 Single Match Buyer,Other Seattle/Washington Sports Fans,Daters,0.009639,32.57,186.62,35.55,5.250000,0.022502,25.12,289.89,37.12,7.808464,42.84,64.38,95.76,67.23,67.5525
2025 Single Match Buyer,General Population,Daters,0.009639,32.57,186.62,35.55,5.250000,0.010137,107.41,234.21,33.82,6.92522,95.09,79.68,105.11,75.81,88.9225
Single Match Buyers and Attendees,General Population,Fans of Women's Sports (FOWS),0.132835,23.29,254.63,45.70,5.571429,0.003045,46.41,174.63,72.83,2.39776,4362.40,145.81,62.75,232.36,1200.83
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Fans of Women's Sports (FOWS),0.132835,23.29,254.63,45.70,5.571429,0.397335,23.29,105.29,35.13,2.99706,33.43,241.85,130.09,185.9,147.8175
Single Match Buyers and Attendees,NWSL Fans,Fans of Women's Sports (FOWS),0.132835,23.29,254.63,45.70,5.571429,1.000000,23.17,111.83,36.43,3.069808,13.28,227.69,125.45,181.49,136.9775
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),Fans of Women's Sports (FOWS),0.132835,23.29,254.63,45.70,5.571429,0.062012,23.64,108.27,36.8,2.942111,214.21,235.18,124.18,189.37,190.735
Season Ticket Members,NWSL Fans,Fitness Enthusiasts,0.130802,61.28,1427.26,102.42,13.935484,0.312688,35.23,1018.29,62.23,16.364005,41.83,140.16,164.59,85.16,107.935
Season Ticket Members,NWSL Fans,Local Commuters,0.124473,4.81,271.87,24.30,11.186441,0.310025,2.93,208.28,8.49,24.529624,40.15,130.53,286.19,45.6,125.6175
Season Ticket Members,Other Seattle/Washington Sports Fans,Local Commuters,0.124473,4.81,271.87,24.30,11.186441,0.202806,3.02,176.18,13.71,12.853996,61.38,154.32,177.3,87.03,120.0075
Season Ticket Members,General Population,Local Commuters,0.124473,4.81,271.87,24.30,11.186441,0.074915,34.98,204.13,11.42,17.873362,166.15,133.18,212.77,62.59,143.6725
Season Ticket Members,Local Gen Pop (Excl. Seattle Reign Fans),Local Commuters,0.124473,4.81,271.87,24.30,11.186441,0.092471,2.94,200.7,13.45,14.925443,134.61,135.46,180.71,74.95,131.4325
Season Ticket Members,General Population,Youth Sports,0.124473,24.67,620.03,63.07,9.830508,0.073750,62.27,340.76,52.26,6.520275,168.78,181.96,120.68,150.77,155.5475
