AUDIENCE,COMPARISON_POPULATION,COMMUNITY,PERC_AUDIENCE,MEDIAN_SPEND_PER_CUSTOMER,SPC,SPP,PPC,PERC_COMPARISON,COMPARISON_MEDIAN_SPEND_PER_CUSTOMER,COMPARISON_SPC,COMPARISON_SPP,COMPARISON_PPC,PERC_INDEX,SPC_INDEX,SPP_INDEX,PPC_INDEX,COMPOSITE_INDEX
Single Match Buyers and Attendees,General Population,Mindful,0.011405,75.78,719.50,166.58,4.319328,0.004984,254.51,664.32,148.71,4.467338,228.83,108.31,112.02,96.69,136.4625
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Olympics Fans,0.011022,54.14,235.46,94.68,2.486957,0.020254,35.41,174.53,67.54,2.584101,54.42,134.91,140.18,96.24,106.4375
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),Olympics Fans,0.011022,54.14,235.46,94.68,2.486957,0.007574,34.95,155.66,65.28,2.384673,145.52,151.27,145.05,104.29,136.5325
Single Match Buyers and Attendees,General Population,Olympics Fans,0.011022,54.14,235.46,94.68,2.486957,0.004234,66.14,158.11,68.11,2.321459,260.32,148.92,139.02,107.13,163.8475
Single Match Buyers and Attendees,NWSL Fans,Olympics Fans,0.011022,54.14,235.46,94.68,2.486957,0.020356,40.86,182.69,74.5,2.452296,54.15,128.89,127.09,101.41,102.885
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Hardcore Outdoor Enthusiasts,0.010926,131.27,514.97,257.48,2.000000,0.029002,137.62,613.43,245.17,2.502031,37.67,83.95,105.02,79.94,76.645
Single Match Buyers and Attendees,General Population,Hardcore Outdoor Enthusiasts,0.010926,131.27,514.97,257.48,2.000000,0.009623,197.23,557.42,220.77,2.524897,113.54,92.38,116.63,79.21,100.44
Seattle Reign FC,Other Seattle/Washington Sports Fans,Motorcycle Enthusiasts,0.019324,108.11,650.57,256.92,2.532184,0.021403,107.73,753.29,262.12,2.873853,90.29,86.36,98.02,88.11,90.695
Seattle Reign FC,General Population,Motorcycle Enthusiasts,0.019324,108.11,650.57,256.92,2.532184,0.011363,175.82,697.52,229.34,3.041417,170.06,93.27,112.03,83.26,114.655
Seattle Reign FC,Local Gen Pop (Excl. Seattle Reign Fans),Motorcycle Enthusiasts,0.019324,108.11,650.57,256.92,2.532184,0.013929,108.1,783.85,269.29,2.910778,138.73,83,95.41,86.99,101.0325
Seattle Reign FC,NWSL Fans,Motorcycle Enthusiasts,0.019324,108.11,650.57,256.92,2.532184,0.014319,102.27,612.68,242.31,2.528547,134.95,106.18,106.03,100.14,111.825
