COMMUNITY,COMMUNITY_INDEX,MERCHANT,MERCHANT_INDEX,PERC_AUDIENCE
Sports Betting,323.13,FLIFF,,0.145855
Theme Parks,272.83,DISNEY REWARDS,1200.0,0.335323
Movie theaters,239.89,SHOWCASE CINEMAS,997.89,0.405652
Travel - Airlines,203.9,SUN COUNTRY AIRLINES,,0.341373
Food Delivery,200.58,LEMONADE LA,475.91,0.473461
Streaming OTT,168.71,NUGS.NET,559.08,0.512813
Dollar Stores,120.07,OCEAN STATE JOB LOT,306.64,0.544221
QSR,120.06,DAVE'S HOT CHICKEN,,0.923239
