COMMUNITY,COMMUNITY_INDEX,MERCHANT,MERCHANT_INDEX,PERC_AUDIENCE
Beverages - Alcohol,126.29,Glenfiddich,1900.0,0.111907
Tax & Legal Services,122.91,CASA.COM,950.0,0.106915
Sports Betting,115.29,FANATICS SPORTSBOOK,,0.052039
Apparel - Sneakers,108.33,Saysh,503.33,0.132462
Home Improvement,103.53,"ANIXTER, INC",,0.439593
Beverages - Coffee & Tea,102.22,NUMI TEA,950.0,0.422896
Food Delivery,97.91,EAT24,168.89,0.231114
QSR,94.94,DAVE'S HOT CHICKEN,,0.730102
