COMMUNITY,COMMUNITY_INDEX,MERCHANT,MERCHANT_INDEX,PERC_AUDIENCE
QSR,0.923239,DAVE'S HOT CHICKEN,,0.923239
Dollar Stores,0.544221,OCEAN STATE JOB LOT,306.64,0.544221
Streaming OTT,0.512813,NUGS.NET,559.08,0.512813
Food Delivery,0.473461,LEMONADE LA,475.91,0.473461
Movie theaters,0.405652,SHOWCASE CINEMAS,997.89,0.405652
Travel - Airlines,0.341373,SUN COUNTRY AIRLINES,,0.341373
Theme Parks,0.335323,DISNEY REWARDS,1200.0,0.335323
Sports Betting,0.145855,FLIFF,,0.145855
Health & Fitness,0.084270666667,BEACHBODY ON DEMAND,,0.084270666667
