audience,display_name,clean_name,mapping_type,csv_subcategory,snowflake_subcategories,,subcategory_count,category_perc_audience,category_perc_index,top_merchant,merchant_perc_index,merchant_perc_audience
NWSL Fan,Beauty - cosmetics & skincare,Beauty,SUBCATEGORY,Beauty - Cosmetics & Skincare,Beauty - Cosmetics & Skincare,1,1,0.615264,212.04,ULTA BEAUTY,279.71,0.432328
NWSL Fan,Streaming OTT,Streaming OTT,SUBCATEGORY,Streaming - OTT,Streaming - OTT,1,1,0.572095,188.21,NETFLIX,188.87,0.302599
NWSL Fan,Food Delivery,Food Delivery,SUBCATEGORY,Restaurants - Online Delivery,Restaurants - Online Delivery,1,1,0.558982,236.81,DOORDASH,217.75,0.352534
NWSL Fan,E-tailers,E-tailers,SUBCATEGORY,Retailers - Online E-Tail,Retailers - Online E-Tail,1,1,0.539325,125.33,AMAZON.COM,107.78,0.360503
NWSL Fan,Home Decor,Home Decor,SUBCATEGORY,Home Furnishings & Goods - Retail,Home Furnishings & Goods - Retail,1,1,0.523144,214.47,IKEA,441.68,0.281077
NWSL Fan,Boutique Fitness,Boutique Fitness,CATEGORY,Fitness,"Fitness - Workout Classes, Fitness - Home Fitness, Fitness - Gyms & Clubs",1,3,,,LA FITNESS INC,526.9,0.049044
NWSL Fan,Athleisure,Athleisure,CATEGORY,Athleisure,"Athleisure - Activewear, Athleisure - Sneakers Plus",1,2,,,NIKE,344.23,0.247506
NWSL Fan,Travel,Travel,CATEGORY,Travel,"Travel - Retail, Travel - Train, Travel - Airports, Travel - Rental Cars, Travel - Airlines, Travel - Travel Agencies, Travel - Cruises",1,7,,,HUDSON,562.22,0.238566
NWSL Fan,Pets,Pets,CATEGORY,Pets,"Pets - Pet Services, Pets - Pet Healthcare, Pets - Pet Food, Pets - Subscriptions, Pets - Retail, Pets - Pet Supplies",1,6,,,PETSMART,237.06,0.356316
Super Bowl Fan,QSR,QSR,SUBCATEGORY,Restaurants - QSR & Fast Casual,Restaurants - QSR & Fast Casual,1,1,0.727969,94.66,MCDONALD'S,96,0.554657
Super Bowl Fan,Streaming OTT,Streaming OTT,SUBCATEGORY,Streaming - OTT,Streaming - OTT,1,1,0.307996,101.32,NETFLIX,103.19,0.165334
Super Bowl Fan,Food Delivery,Food Delivery,SUBCATEGORY,Restaurants - Online Delivery,Restaurants - Online Delivery,1,1,0.22094,93.6,DOORDASH,92.36,0.14952
Super Bowl Fan,Travel - airlines,Airlines,SUBCATEGORY,Travel - Airlines,Travel - Airlines,1,1,0.170264,101.7,AMERICAN AIRLINES,105.11,0.057915
Super Bowl Fan,Sports Betting,Sports Betting,SUBCATEGORY,Gambling - Online,Gambling - Online,1,1,0.047181,104.53,FANDUEL.COM,104.97,0.017465
Super Bowl Fan,Entertainment & Music,Entertainment & Music,SUBCATEGORY,Entertainment & News - Musicians,Entertainment & News - Musicians,1,1,0.023301,118.66,Taylor Swift,127.86,0.005177
Super Bowl Fan,Health & Fitness,Health & Fitness,CATEGORY,Fitness,"Fitness - Home Fitness, Fitness - Workout Classes, Fitness - Gyms & Clubs",1,3,,,PLANET FITNESS,84.74,0.020449
Super Bowl Fan,Travel - Lodging & Accommodation,Travel,CATEGORY,Lodging & Accommodation,"Lodging & Accommodation - Alternative Accommodations, Lodging & Accommodation - Hotels",1,2,,,AIRBNB,100.64,0.042115
Super Bowl Fan,Auto,Auto,CATEGORY,Auto,"Auto - Auto Service, Auto - EV Charging, Auto - Tire Service, Auto - Car Dealers, Auto - Oil Change, Auto - Motorcycle Dealers, Auto - Car Washes, Auto - Auto Parts",1,8,,,AUTOZONE,91.51,0.125421
